Type,Name,Price,Flavor,Sugar_Free,Drink_ID,Carbonation,Serving_Size,Alcohol_Content,Prep_time,Person_ID
Frozen Coctail,Dead Sea Fizz,147,Pungent,1,9466,0,79,0.097,7,398928876
Hard Seltzer,Pisco Sour,46,Fruity,0,8237,1,96,0.151,4,152582581
Highball,Jaffa Orange Mojito,9,Bitter,0,7282,1,61,0.853,11,125518261
Coctail,Hurricane,104,Sweet,0,6053,0,38,0.056,9,318585138
Mule,Tom Collins,113,Mellow,0,5705,1,45,0.597,6,177782446
Sour,Gin Fizz,107,Sweet,1,8415,1,17,0.6,12,314335346
Mixed Drink,Aperol Spritz,144,Refreshing,1,6305,1,14,0.177,10,218439678
Shot,Old Fashioned,110,Tart,1,4974,1,7,0.636,5,251380477
Sangria,Rob Roy,39,Floral,1,6321,1,93,0.957,12,246412982
Frozen Coctail,Cosmopolitan,146,Creamy,0,1144,0,52,0.375,9,372150413
Hot Alcoholic Drink,Sabra Cocktail,134,Mellow,1,4277,1,40,0.971,13,382097387
Cider,Long Island Iced Tea,128,Smoky,0,4760,0,79,0.561,14,124060052
Shot,Dead Sea Fizz,60,Tangy,1,5271,0,54,0.134,6,378119588
Daiquiri,Paloma,34,Bitter,0,9288,1,62,0.647,1,185979655
Lowball,Old Fashioned,115,Smoky,0,4012,1,2,0.205,6,305633673
Daiquiri,Sangria,25,Rich,1,7562,0,93,0.217,1,282616098
Negroni,Mai Tai,144,Zesty,1,5697,1,99,0.984,5,307535960
Negroni,Fizz,34,Tangy,0,1533,0,80,0.377,1,137471563
Negroni,Zombie,73,Tart,0,5184,1,63,0.773,5,323314179
Liqueur-Based Drink,Bloody Mary,22,Bitter,1,2095,1,9,0.278,14,347325244
Frozen Coctail,Sex on the Beach,47,Creamy,1,1999,1,37,0.951,15,366978200
Wine,Hurricane,104,Spicy,0,1746,0,57,0.661,10,215454612
Margarita,Black Russian,32,Smoky,0,6169,0,78,0.07,6,280290797
Old Fashioned,Arak Sour,61,Sour-Sweet,0,8400,1,12,0.506,4,134190702
Shooter,Arak Sour,59,Smoky,1,5257,0,4,0.002,13,319680155
Lowball,Cosmopolitan,11,Zesty,0,9321,0,88,0.269,7,170085938
Martini,Blue Lagoon,134,Rich,0,4323,0,83,0.624,7,302457211
On the Rocks,Bloody Mary,102,Sour,0,3212,0,89,0.684,4,276503806
Coctail,Tequila Sunrise,86,Rich,1,3769,1,96,0.837,15,348748532
