Date,Tip,Price,Time,Payment_method,Order_ID,Bartender_ID
12/08/2023,41019.4,60229.29,12:18 PM,Gift card,41270,398928876
11/15/2021,95570.51,98613.09,6:56 AM,Apple Pay,7204,152582581
03/04/2023,42797.33,82517.39,4:35 PM,Bank transfer,60267,125518261
03/26/2023,84310.44,64030.5,1:58 PM,Gift card,63810,318585138
01/30/2023,2041.81,76569.13,2:18 PM,Bank transfer,28562,177782446
12/19/2023,68636.1,2366.81,7:41 AM,credit card,16979,314335346
07/09/2021,46160.76,35241.94,6:10 AM,Google Pay,55459,218439678
03/20/2021,66244.64,35061.86,9:41 PM,Google Pay,88731,251380477
01/17/2025,34172.83,64091.51,10:20 PM,Cash,14049,246412982
02/13/2024,11772.89,99415.83,10:50 AM,Google Pay,91361,372150413
03/01/2025,54749.59,32235.1,5:24 PM,Cash,32039,382097387
09/23/2024,11468.98,88840.86,12:57 PM,Gift card,65265,124060052
04/28/2022,52344.39,78095.33,3:41 AM,Bitcoin,26452,378119588
11/04/2024,18166.96,36997.39,6:56 PM,Cash,80165,185979655
11/21/2021,88236.64,31793.52,7:22 AM,Google Pay,3747,305633673
11/23/2023,34674.74,51592.9,6:22 PM,Bitcoin,72790,282616098
06/14/2022,46471.54,39419.6,9:52 PM,Bitcoin,96806,307535960
07/26/2020,26239.47,42553.79,8:43 AM,Bank transfer,58556,137471563
11/05/2021,86457.79,75892.29,3:14 PM,Bitcoin,95350,323314179
07/12/2023,2905.09,4947.4,7:22 PM,Bitcoin,71969,347325244
12/28/2020,97884.35,65258.16,11:38 PM,Bitcoin,2426,366978200
02/01/2023,94321.85,65000.66,11:19 PM,Bank transfer,86752,215454612
10/04/2023,37543.2,88020.77,12:28 AM,Apple Pay,64202,280290797
11/27/2020,90599.96,19015.76,5:17 PM,credit card,68645,134190702
05/28/2020,78894.02,28586.26,9:17 PM,Cash,57279,319680155
07/05/2020,60120.75,42839.63,8:04 AM,Bank transfer,87364,170085938
03/29/2024,8720.34,47850.11,3:53 AM,Gift card,63955,302457211
02/14/2023,99291.18,47232.44,7:30 AM,Bank transfer,72682,276503806
05/02/2024,67813.19,15519.77,11:52 PM,Google Pay,22719,348748532
11/07/2021,67031.44,40442.46,4:42 PM,Apple Pay,68487,293870187
08/25/2020,29813.38,19626.14,1:16 AM,Google Pay,29778,106935809
12/21/2021,49739.14,7853.49,8:06 PM,Bank transfer,19839,315050621
10/24/2022,84720.53,84630.17,9:35 AM,Cash,21356,367588392
02/28/2024,31586.59,92602.43,8:49 PM,credit card,65722,244767478
03/16/2021,36127.57,15464.8,10:05 AM,credit card,56978,187426667
10/13/2022,73270.19,67462.96,9:00 AM,Bitcoin,77253,308748457
07/11/2020,37097.94,57710.1,3:10 AM,Apple Pay,64294,249888124
09/02/2020,75070.87,68422.06,3:13 AM,Google Pay,71675,360451014
08/12/2022,85077.29,96351.18,11:53 AM,Cash,92300,378269689
12/01/2024,78797.51,42882.01,12:45 PM,Google Pay,9923,108995121
05/22/2020,83618.39,40251.99,1:47 AM,Cash,93150,100966255
01/13/2022,16827.56,77424.6,3:58 AM,Apple Pay,29708,360583541
