Vegetarian,Quantity,Name,Storage_space,Price,Product_ID,Nut_free,Gluten_free,Vegan,Brand,Shelf_life,Type,Storage_ID,Person_ID
0,198,Bitters,34,954.16,71390,0,1,0,Red Bull,2852,Non-alcoholic Spirits,85092,344255784
0,174,Salt Rim Mix,32,243.87,40080,1,0,1,Captain Morgan,1861,Glassware,96292,357111690
1,180,Coffee Liqueur,26,125.12,52122,1,0,0,OTHER,3383,Liqueurs,52228,134538063
1,111,Mint Leaves,46,33.25,84729,0,0,1,OTHER,3381,Bar Tools & Accessories,36944,191277798
1,78,Grenadine,30,134.85,23660,1,1,1,Captain Morgan,1808,Spirits,46352,384280658
1,87,Vodka,32,855.61,44284,1,0,0,OTHER,1342,Non-alcoholic Spirits,24168,235548310
1,58,Sugar Syrup,19,1135.47,66506,1,1,1,Jack Daniel's,814,Energy Drinks,75764,287036170
0,132,Ginger Beer,31,37.95,17498,1,0,0,Malibu,2847,Garnishes,61707,262886579
0,132,OTHER,24,247.34,34221,1,1,0,Chivas Regal,19,Bitters,16900,164930451
1,147,Salt Rim Mix,29,344.64,99855,1,0,0,Jack Daniel's,2742,Energy Drinks,86154,199024537
1,161,Bitter Aperitif,15,449.51,53109,0,1,0,Bombay Sapphire,1825,Juices,22920,182511761
0,44,Tonic Water,23,974.97,88558,1,0,1,Patrón,208,Non-alcoholic Spirits,71611,209830563
1,131,OTHER,36,770.45,13391,0,0,1,Sprite,531,Mixers,87056,158423420
0,34,Bitter Aperitif,25,741.35,17482,1,1,1,Martini,1793,Beers,85201,242612448
1,170,Dry Vermouth,38,1024.99,56463,0,1,1,San Pellegrino,273,Beers,29880,314730311
1,87,Orange Bitters,2,1190.52,38271,0,1,1,Tanqueray,2752,Juices,41616,396626762
1,136,Sweet Vermouth,26,166.91,36480,0,1,0,Monin,735,Bar Tools & Accessories,78434,154750379
0,183,Mint Leaves,31,137.44,75629,1,0,0,Malibu,1578,Energy Drinks,14562,266849843
1,75,Grenadine,47,380.56,71774,0,1,1,Disaronno,187,Wines,30071,234632581
0,141,Bitter Aperitif,36,509.94,76462,0,0,1,OTHER,1826,Non-alcoholic Spirits,87587,343707533
0,148,Triple Sec,21,490.08,25922,1,0,0,Hendrick's,3527,Liqueurs,69189,295040925
1,182,OTHER,30,429.11,86308,1,0,1,OTHER,2478,Liqueurs,51906,323334514
1,71,Fruit Syrup,16,892.51,85368,1,1,1,Martini,3557,Juices,30897,261802588
