"name","shelf_life","type","location"
"Product_0",126,"Mixer","238 Beckstead St."
"Product_1",299,"Mixer","656 Sell St."
"Product_2",60,"Liquor","629 Sentell St."
"Product_3",330,"Liquor","399 Smith St."
"Product_4",119,"Ingredient","771 Reel St."
"Product_5",120,"Ingredient","819 Couchman St."
"Product_6",143,"Ingredient","202 Aguirre St."
"Product_7",115,"Ingredient","541 Hlavac St."
"Product_8",209,"Mixer","626 Cochran St."
"Product_9",282,"Mixer","866 Osborn St."
"Product_10",67,"Liquor","820 Kim St."
"Product_11",222,"Liquor","689 Nelson St."
"Product_12",340,"Mixer","120 Sanders St."
"Product_13",182,"Liquor","398 Campos St."
"Product_14",31,"Mixer","434 Bennett St."
"Product_15",356,"Mixer","942 Clarkson St."
"Product_16",76,"Ingredient","502 Meyer St."
"Product_17",164,"Mixer","635 Wilson St."
"Product_18",206,"Ingredient","140 Long St."
"Product_19",273,"Ingredient","669 Godfrey St."
"Product_20",118,"Liquor","728 Hinerman St."
"Product_21",351,"Liquor","579 Jones St."
"Product_22",264,"Liquor","282 Cruz St."
"Product_23",304,"Mixer","580 Mcadoo St."
"Product_24",236,"Liquor","116 Tabor St."
"Product_25",167,"Mixer","556 Kelty St."
"Product_26",183,"Ingredient","560 Owens St."
"Product_27",138,"Mixer","850 Strand St."
"Product_28",289,"Mixer","461 Willis St."
"Product_29",59,"Liquor","795 Garduno St."
"Product_30",288,"Mixer","360 Voit St."
"Product_31",330,"Ingredient","170 Lovelace St."
"Product_32",227,"Liquor","584 Harmon St."
"Product_33",167,"Ingredient","173 Holt St."
"Product_34",337,"Liquor","587 Hart St."
"Product_35",208,"Mixer","139 Rehling St."
"Product_36",221,"Ingredient","888 Kimmel St."
"Product_37",163,"Ingredient","150 Cotten St."
"Product_38",101,"Ingredient","502 Turner St."
"Product_39",48,"Ingredient","425 French St."
"Product_40",315,"Liquor","413 Trent St."
"Product_41",143,"Mixer","466 Eftekhari St."
"Product_42",180,"Mixer","890 Carreno St."
"Product_43",91,"Ingredient","651 Macklin St."
"Product_44",239,"Ingredient","408 Jordan St."
"Product_45",353,"Liquor","275 Rodriquez St."
"Product_46",111,"Mixer","592 Gonzalez St."
"Product_47",226,"Liquor","781 Miller St."
"Product_48",32,"Ingredient","17 Scott St."
"Product_49",63,"Liquor","1 Wolfertz St."
"Product_50",280,"Mixer","932 Gonzalez St."
"Product_51",331,"Ingredient","896 Seys St."
"Product_52",349,"Liquor","370 Mills St."
"Product_53",257,"Mixer","170 Wilson St."
"Product_54",245,"Ingredient","717 Ottinger St."
"Product_55",346,"Liquor","721 Clark St."
"Product_56",239,"Mixer","136 Stoddard St."
"Product_57",31,"Liquor","10 Smith St."
"Product_58",68,"Ingredient","711 Gonzalez St."
"Product_59",55,"Liquor","92 Scofield St."
"Product_60",78,"Liquor","377 Kratky St."
"Product_61",348,"Mixer","657 Tongate St."
"Product_62",227,"Ingredient","577 Smith St."
"Product_63",111,"Liquor","360 Hooten St."
"Product_64",343,"Liquor","631 Ashmore St."
"Product_65",163,"Ingredient","144 Byerly St."
"Product_66",157,"Mixer","360 Pecci St."
"Product_67",270,"Mixer","284 Cone St."
"Product_68",144,"Ingredient","615 Trott St."
"Product_69",258,"Mixer","869 Fielden St."
