"order_id","total_drinks"
30194,"2"
64202,"1"
116,"1"
87,"1"
32039,"1"
21111,"1"
19839,"1"
51,"1"
95320,"1"
3455,"1"
37876,"1"
70,"1"
51313,"1"
68487,"1"
76161,"1"
37000,"1"
33333,"1"
29185,"1"
76916,"1"
47364,"1"
67880,"1"
75652,"1"
65257,"1"
28562,"1"
84097,"1"
92,"1"
23030,"1"
57279,"1"
59786,"1"
12931,"1"
92300,"1"
51480,"1"
86768,"1"
54591,"1"
22,"1"
33065,"1"
89434,"1"
53540,"1"
87816,"1"
44666,"1"
135,"1"
92271,"1"
16288,"1"
27508,"1"
21407,"1"
10314,"1"
22563,"1"
37231,"1"
149,"1"
86828,"1"
73,"1"
11685,"1"
17218,"1"
103,"1"
84185,"1"
65114,"1"
25816,"1"
14542,"1"
42,"1"
121,"1"
117,"1"
88,"1"
70510,"1"
125,"1"
113,"1"
40,"1"
87364,"1"
86476,"1"
43,"1"
87699,"1"
16164,"1"
25050,"1"
120,"1"
15,"1"
80380,"1"
1069,"1"
48,"1"
9724,"1"
79759,"1"
77984,"1"
33691,"1"
78442,"1"
9923,"1"
57,"1"
81,"1"
61,"1"
19,"1"
82045,"1"
74300,"1"
19087,"1"
14049,"1"
7204,"1"
22099,"1"
45002,"1"
79322,"1"
43202,"1"
6226,"1"
81846,"1"
99332,"1"
31944,"1"
58556,"1"
32806,"1"
72790,"1"
104,"1"
5,"1"
65722,"1"
74332,"1"
91,"1"
17949,"1"
59081,"1"
11155,"1"
16682,"1"
54136,"1"
52909,"1"
54,"1"
29,"1"
30621,"1"
7401,"1"
4,"1"
77051,"1"
13870,"1"
88731,"1"
96,"1"
35849,"1"
20760,"1"
10,"1"
56545,"1"
105,"1"
35,"1"
23170,"1"
53907,"1"
73414,"1"
67658,"1"
56701,"1"
107,"1"
6,"1"
86,"1"
76648,"1"
44229,"1"
23252,"1"
93,"1"
89,"1"
38504,"1"
31,"1"
71012,"1"
31377,"1"
50,"1"
81027,"1"
14,"1"
76986,"1"
66,"1"
109,"1"
52951,"1"
68633,"1"
3801,"1"
13,"1"
85632,"1"
31577,"1"
133,"1"
84628,"1"
13272,"1"
2,"1"
48937,"1"
54934,"1"
68645,"1"
91361,"1"
75,"1"
128,"1"
46754,"1"
86841,"1"
58821,"1"
42382,"1"
57737,"1"
